Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800504016,1621,1584,37,17,1,1,0,0,6,0,1,8,4,0,0,1,0,0,0,1,11,0,0,2,2,1,0,0,1,0,0,0,2,4,3,0,0
2800504017,3519,3358,161,87,1,12,1,6,7,5,1,50,14,2,6,7,1,0,0,0,35,5,0,0,4,4,2,0,4,2,2,1,4,17,4,0,1
2800505001,1250,831,419,317,0,9,0,1,13,1,2,289,8,1,5,24,0,2,3,0,45,0,2,3,15,1,4,5,0,4,7,0,2,25,22,0,0
2800505002,1752,1327,425,292,0,8,5,2,9,1,0,263,25,0,22,34,5,23,4,0,53,2,0,4,4,2,0,4,0,11,18,0,4,21,15,0,0
2800505003,1586,1245,341,229,2,3,1,2,15,1,1,203,29,2,19,15,0,9,2,0,47,1,0,2,17,2,6,2,2,1,12,0,1,21,16,4,0
2800505004,1305,1031,274,177,0,2,0,0,22,1,0,149,11,0,11,7,0,6,0,0,60,0,2,3,15,0,0,16,0,4,18,0,1,19,19,0,0
2800505005,1252,1005,247,197,0,8,0,1,16,2,0,169,0,0,0,13,0,5,3,0,27,0,0,2,11,0,0,0,1,0,4,0,3,10,9,1,0
2800505006,860,738,122,105,0,9,0,2,7,0,0,87,1,0,1,0,0,0,0,0,10,1,0,0,1,1,0,1,0,0,0,0,0,6,6,0,0
2800505007,1953,1776,177,118,1,11,2,4,14,0,0,86,18,2,16,3,0,2,0,0,28,0,0,0,9,1,4,2,1,5,2,0,0,10,6,2,0
2800505008,998,881,117,70,1,2,1,0,6,0,0,60,1,0,1,20,3,1,10,0,13,0,1,4,2,0,0,2,0,2,0,1,0,13,12,0,0
2800505009,1390,1133,257,158,0,9,2,0,9,8,1,128,7,1,5,22,3,6,5,2,62,3,4,0,8,3,5,7,7,1,10,2,0,8,6,0,0
2800505010,811,620,191,126,0,0,0,0,17,0,0,109,12,0,9,22,6,12,0,4,24,1,0,4,5,0,0,0,0,0,6,1,0,7,0,0,0
2800505011,1402,1095,307,226,0,7,0,3,13,0,0,201,5,1,3,15,0,13,1,0,38,2,0,4,12,1,2,10,0,5,1,0,1,23,23,0,0
2800505012,1861,1415,446,307,0,15,1,2,19,1,0,262,39,0,33,29,1,4,11,0,51,1,1,1,15,0,1,4,0,10,14,0,2,19,9,7,1
2800505013,1071,1041,30,18,6,0,2,0,0,0,1,9,1,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0
2800505014,2259,1967,292,177,1,11,1,1,11,1,2,147,28,0,21,21,0,12,4,0,42,4,1,5,4,4,6,3,1,4,4,1,3,24,18,0,0
2800505015,1436,1388,48,34,0,1,1,1,1,0,1,29,0,0,0,0,0,0,0,0,12,0,0,5,0,0,1,0,1,1,0,0,2,2,1,0,0
2800505016,967,909,58,34,0,1,1,6,2,0,0,23,0,0,0,0,0,0,0,0,24,2,0,1,2,2,0,2,0,2,0,0,12,0,0,0,0
2800505017,1752,1276,476,308,0,21,0,4,27,2,0,252,21,0,13,76,3,48,10,8,51,0,0,15,11,6,3,5,0,1,1,0,2,20,20,0,0
2800505018,1048,855,193,114,0,21,0,7,18,0,0,67,45,0,45,7,0,1,0,0,20,2,0,0,5,1,0,1,0,1,0,0,10,7,7,0,0
2800505019,769,602,167,128,0,0,0,0,5,0,0,123,1,0,0,17,0,11,0,4,12,0,0,0,0,1,0,0,1,5,5,0,0,9,8,1,0
2800505020,1735,1335,400,261,0,22,0,2,37,0,0,197,25,0,25,49,3,19,1,3,63,3,5,1,15,0,0,7,1,9,13,1,8,2,0,0,0
2800505021,1939,1580,359,296,0,2,0,1,25,1,1,266,9,0,8,5,0,4,1,0,39,1,0,3,8,0,0,0,5,1,17,4,0,10,10,0,0
2800505022,1976,1862,114,83,2,0,5,7,0,2,0,66,3,1,2,3,0,1,1,0,16,0,0,4,1,0,0,4,0,1,4,0,1,9,5,0,0
2800505023,1765,1476,289,219,0,0,0,4,22,0,1,192,12,0,8,1,0,0,1,0,39,1,0,0,3,2,0,8,0,5,19,0,0,18,16,2,0
2800505024,1621,1145,476,379,1,5,2,2,22,4,0,340,24,0,18,18,1,10,1,0,39,4,1,6,5,0,0,8,1,3,6,2,1,16,11,0,0
2800505025,1440,1027,413,278,1,16,1,3,9,1,2,240,6,0,0,38,2,16,16,0,62,0,2,8,10,2,0,2,1,3,26,1,1,29,29,0,0
2800505026,1573,1129,444,305,0,12,5,3,29,3,0,250,26,0,18,41,1,19,7,0,58,4,0,11,14,2,0,5,0,6,15,0,0,14,13,0,0
2800505027,824,604,220,168,1,12,1,1,22,1,0,130,1,0,1,7,0,5,0,0,38,1,1,1,14,1,0,4,0,5,8,0,2,5,4,0,1
2800505028,1091,1044,47,27,0,0,0,2,4,0,1,18,1,1,0,1,0,0,0,0,13,2,1,0,6,0,0,1,0,0,0,0,0,5,5,0,0
2800505029,1841,1611,230,139,2,7,0,1,1,0,0,122,33,0,32,3,1,0,0,0,25,1,1,5,1,3,0,5,0,6,2,0,0,30,21,1,0
2800505030,704,677,27,16,1,2,0,1,0,0,0,10,5,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
2800505031,770,737,33,17,1,0,0,0,0,0,1,14,5,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1,1,1,0,0,0,5,3,0,0
2800505032,1796,1741,55,27,2,1,2,8,0,0,1,9,2,1,1,0,0,0,0,0,17,5,0,2,5,1,0,1,0,0,1,0,0,9,2,0,0
2800601001,1757,1452,305,42,1,3,1,0,3,5,2,25,22,1,9,27,1,19,0,0,187,3,2,4,21,1,1,26,36,22,30,1,4,24,4,4,3
2800601002,2530,1905,625,91,2,3,0,10,4,16,0,55,39,1,3,86,0,70,3,0,351,5,5,14,36,3,3,66,76,26,53,1,14,58,25,8,0
2800601003,1877,1322,555,86,1,12,2,10,3,1,4,49,82,0,9,77,0,45,0,0,285,9,11,4,33,1,6,26,56,15,56,1,11,24,1,1,1
