TIPO_ELECCION;ANIO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;MUNICIPIO;COD_DIST_ELEC;COD_PART_JUD;COD_DIP_PROV;COD_COM;POBLACION_DER;N_MESAS;CENSO;CENSO_ESCR;CENSO_CERE;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;ESCANIOS;VOTOS_REFR_SI;VOTOS_REFR_NO;DATOS_OFIC
04;2011;05;1;01;11;022;99;Línea de la Concepción (La);0;033;033;000;00064645;00081;00048919;00048918;00000395;00000000;00013652;00020085;00000590;00000293;00024842;025;00000000;00000000;S
04;2011;05;1;01;11;023;99;Medina-Sidonia;0;031;031;000;00011741;00014;00009204;00009204;00000038;00000000;00004122;00005719;00000050;00000034;00007121;017;00000000;00000000;S
04;2011;05;1;01;11;024;99;Olvera;0;006;006;000;00008570;00011;00006856;00006850;00000031;00000000;00002914;00004183;00000031;00000034;00005397;013;00000000;00000000;S
04;2011;05;1;01;11;025;99;Paterna de Rivera;0;031;031;000;00005680;00007;00004381;00004381;00000003;00000000;00002011;00002764;00000095;00000052;00003399;013;00000000;00000000;S
04;2011;05;1;01;11;026;99;Prado del Rey;0;006;006;000;00005948;00007;00004840;00004834;00000009;00000000;00002161;00003093;00000045;00000050;00003744;013;00000000;00000000;S
04;2011;05;1;01;11;027;99;Puerto de Santa María (El);0;027;027;000;00088503;00113;00067105;00067109;00000315;00000000;00019755;00026859;00000915;00000431;00034497;025;00000000;00000000;S
04;2011;05;1;01;11;028;99;Puerto Real;0;027;027;000;00040667;00052;00032226;00032226;00000083;00000000;00011457;00014992;00000435;00000178;00018293;021;00000000;00000000;S
04;2011;05;1;01;11;029;99;Puerto Serrano;0;006;006;000;00007116;00009;00005321;00005322;00000015;00000000;00002173;00003189;00000024;00000067;00003842;013;00000000;00000000;S
04;2011;05;1;01;11;030;99;Rota;0;027;027;000;00028904;00036;00022448;00022448;00000058;00000000;00007397;00010340;00000337;00000221;00013226;021;00000000;00000000;S
04;2011;05;1;01;11;031;99;San Fernando;0;031;031;000;00096689;00118;00076286;00076289;00000072;00000000;00023878;00031421;00001030;00000443;00039388;025;00000000;00000000;S
04;2011;05;1;01;11;032;99;Sanlúcar de Barrameda;0;032;032;000;00066541;00086;00053088;00053089;00000072;00000000;00013530;00019175;00000648;00000281;00025881;025;00000000;00000000;S
04;2011;05;1;01;11;033;99;San Roque;0;033;033;000;00029588;00033;00020338;00020333;00000456;00000000;00007270;00010007;00000440;00000252;00011984;021;00000000;00000000;S
